"model_id","reference_datetime","datetime","variable","prediction"
"GLM-AED",2022-01-01 12:00:00,2022-01-01,"chlorophyll-a",9.10111886013986
"GLM-AED",2022-01-01 12:00:00,2022-01-02,"chlorophyll-a",8.11210488448963
"GLM-AED",2022-01-01 12:00:00,2022-01-03,"chlorophyll-a",8.03656584631201
"GLM-AED",2022-01-01 12:00:00,2022-01-04,"chlorophyll-a",7.85266230508241
"GLM-AED",2022-01-01 12:00:00,2022-01-05,"chlorophyll-a",7.81614145745241
"GLM-AED",2022-01-01 12:00:00,2022-01-06,"chlorophyll-a",7.68940880066794
"GLM-AED",2022-01-01 12:00:00,2022-01-07,"chlorophyll-a",7.57262105258233
"GLM-AED",2022-01-01 12:00:00,2022-01-08,"chlorophyll-a",7.53148167507831
"GLM-AED",2022-01-01 12:00:00,2022-01-09,"chlorophyll-a",7.47006787717654
"GLM-AED",2022-01-01 12:00:00,2022-01-10,"chlorophyll-a",7.25406669005219
"GLM-AED",2022-01-01 12:00:00,2022-01-11,"chlorophyll-a",7.20638306704871
"GLM-AED",2022-01-01 12:00:00,2022-01-12,"chlorophyll-a",7.35729651901723
"GLM-AED",2022-01-01 12:00:00,2022-01-13,"chlorophyll-a",7.13225788058208
"GLM-AED",2022-01-01 12:00:00,2022-01-14,"chlorophyll-a",7.04021768039325
"GLM-AED",2022-01-01 12:00:00,2022-01-15,"chlorophyll-a",7.01911564347705
"GLM-AED",2022-01-01 12:00:00,2022-01-16,"chlorophyll-a",7.0769764050389
"GLM-AED",2022-01-01 12:00:00,2022-01-17,"chlorophyll-a",6.791232150704
"GLM-AED",2022-01-01 12:00:00,2022-01-18,"chlorophyll-a",6.49919917073596
"GLM-AED",2022-01-01 12:00:00,2022-01-19,"chlorophyll-a",6.71085862384845
"GLM-AED",2022-01-01 12:00:00,2022-01-20,"chlorophyll-a",6.48786997124805
"GLM-AED",2022-01-01 12:00:00,2022-01-21,"chlorophyll-a",6.28718534797971
"GLM-AED",2022-01-01 12:00:00,2022-01-22,"chlorophyll-a",6.56804807491649
"GLM-AED",2022-01-01 12:00:00,2022-01-23,"chlorophyll-a",6.56679444997515
"GLM-AED",2022-01-01 12:00:00,2022-01-24,"chlorophyll-a",6.46454096785869
"GLM-AED",2022-01-01 12:00:00,2022-01-25,"chlorophyll-a",6.69332161704508
"GLM-AED",2022-01-01 12:00:00,2022-01-26,"chlorophyll-a",6.57397222958334
"GLM-AED",2022-01-01 12:00:00,2022-01-27,"chlorophyll-a",6.85402510275168
"GLM-AED",2022-01-01 12:00:00,2022-01-28,"chlorophyll-a",7.00388283330401
"GLM-AED",2022-01-01 12:00:00,2022-01-29,"chlorophyll-a",6.84194967070567
"GLM-AED",2022-01-01 12:00:00,2022-01-30,"chlorophyll-a",7.19682599442727
"GLM-AED",2022-01-01 12:00:00,2022-01-31,"chlorophyll-a",7.40823948509186
"GLM-AED",2022-01-01 12:00:00,2022-02-01,"chlorophyll-a",7.67825301313047
"GLM-AED",2022-01-01 12:00:00,2022-02-02,"chlorophyll-a",7.77414630259141
"GLM-AED",2022-01-01 12:00:00,2022-02-03,"chlorophyll-a",7.84047247764143
"GLM-AED",2022-01-01 12:00:00,2022-02-04,"chlorophyll-a",7.59780900031799
"GLM-AED",2022-01-01 12:00:00,2022-02-05,"chlorophyll-a",7.64940981315559
"GLM-AED",2022-01-02 12:00:00,2022-01-02,"chlorophyll-a",11.1702083263889
"GLM-AED",2022-01-02 12:00:00,2022-01-03,"chlorophyll-a",11.0142538862933
"GLM-AED",2022-01-02 12:00:00,2022-01-04,"chlorophyll-a",10.774184355787
"GLM-AED",2022-01-02 12:00:00,2022-01-05,"chlorophyll-a",10.7288505065596
"GLM-AED",2022-01-02 12:00:00,2022-01-06,"chlorophyll-a",10.5589279549201
"GLM-AED",2022-01-02 12:00:00,2022-01-07,"chlorophyll-a",10.4051505403393
"GLM-AED",2022-01-02 12:00:00,2022-01-08,"chlorophyll-a",10.3580128881807
"GLM-AED",2022-01-02 12:00:00,2022-01-09,"chlorophyll-a",10.2874627221615
"GLM-AED",2022-01-02 12:00:00,2022-01-10,"chlorophyll-a",10.0018486524296
"GLM-AED",2022-01-02 12:00:00,2022-01-11,"chlorophyll-a",9.959925460363
"GLM-AED",2022-01-02 12:00:00,2022-01-12,"chlorophyll-a",10.1653809933232
"GLM-AED",2022-01-02 12:00:00,2022-01-13,"chlorophyll-a",9.88202645759344
"GLM-AED",2022-01-02 12:00:00,2022-01-14,"chlorophyll-a",9.77014551337458
"GLM-AED",2022-01-02 12:00:00,2022-01-15,"chlorophyll-a",9.76849724131765
"GLM-AED",2022-01-02 12:00:00,2022-01-16,"chlorophyll-a",9.95542147850797
"GLM-AED",2022-01-02 12:00:00,2022-01-17,"chlorophyll-a",9.82111633355663
"GLM-AED",2022-01-02 12:00:00,2022-01-18,"chlorophyll-a",9.08092556738706
"GLM-AED",2022-01-02 12:00:00,2022-01-19,"chlorophyll-a",9.42252358623379
"GLM-AED",2022-01-02 12:00:00,2022-01-20,"chlorophyll-a",9.08930072538474
"GLM-AED",2022-01-02 12:00:00,2022-01-21,"chlorophyll-a",8.88637753818521
"GLM-AED",2022-01-02 12:00:00,2022-01-22,"chlorophyll-a",9.31234098844661
"GLM-AED",2022-01-02 12:00:00,2022-01-23,"chlorophyll-a",9.33732573059485
"GLM-AED",2022-01-02 12:00:00,2022-01-24,"chlorophyll-a",9.23799404438696
"GLM-AED",2022-01-02 12:00:00,2022-01-25,"chlorophyll-a",9.58088849289531
"GLM-AED",2022-01-02 12:00:00,2022-01-26,"chlorophyll-a",9.44759981607098
"GLM-AED",2022-01-02 12:00:00,2022-01-27,"chlorophyll-a",9.88554223938675
"GLM-AED",2022-01-02 12:00:00,2022-01-28,"chlorophyll-a",10.1870737171421
"GLM-AED",2022-01-02 12:00:00,2022-01-29,"chlorophyll-a",9.94089491197191
"GLM-AED",2022-01-02 12:00:00,2022-01-30,"chlorophyll-a",10.4601776270352
"GLM-AED",2022-01-02 12:00:00,2022-01-31,"chlorophyll-a",10.9430527639567
"GLM-AED",2022-01-02 12:00:00,2022-02-01,"chlorophyll-a",11.0365240587365
"GLM-AED",2022-01-02 12:00:00,2022-02-02,"chlorophyll-a",11.4331155425489
"GLM-AED",2022-01-02 12:00:00,2022-02-03,"chlorophyll-a",11.5510590026655
"GLM-AED",2022-01-02 12:00:00,2022-02-04,"chlorophyll-a",11.1662183282503
"GLM-AED",2022-01-02 12:00:00,2022-02-05,"chlorophyll-a",11.2521128273986
"GLM-AED",2022-01-02 12:00:00,2022-02-06,"chlorophyll-a",11.9247957401944
"GLM-AED",2022-01-03 12:00:00,2022-01-03,"chlorophyll-a",10.5483216643357
"GLM-AED",2022-01-03 12:00:00,2022-01-04,"chlorophyll-a",10.2622244375419
"GLM-AED",2022-01-03 12:00:00,2022-01-05,"chlorophyll-a",10.2358668465506
"GLM-AED",2022-01-03 12:00:00,2022-01-06,"chlorophyll-a",10.124061456904
